RUSBag
30.63
29.73
30.33
33.33
30.93
30.93
30.33
30.63
30.63
30.93
31.23
30.93
32.13
30.63
29.73
29.73
33.03
30.63
30.63
30.03
30.93
32.73
31.53
27.33
30.63
32.73
30.33
30.63
30.63
30.93
30.93
33.63
32.13
30.33
32.13
29.43
31.23
32.73
31.23
30.93
31.23
30.33
27.93
34.23
30.93
30.33
31.53
30.03
31.23
31.53
30.63
29.73
31.23
30.63
33.93
30.63
30.63
29.43
30.33
31.83
28.83
31.53
30.33
30.03
31.53
32.43
29.13
32.13
32.43
31.53
32.13
30.33
30.33
31.83
31.53
30.03
34.23
33.63
30.03
28.83
29.73
31.23
29.73
30.63
30.33
29.43
31.53
29.73
29.13
29.73
30.03
30.63
28.83
30.63
30.93
30.33
30.03
29.73
31.53
30.93

