RUSBag
37.56
35.75
37.1
35.29
36.65
38.46
38.01
35.29
37.56
36.65
36.65
37.56
37.56
38.46
38.01
37.1
36.65
37.56
34.84
35.75
39.37
37.1
35.29
34.84
37.56
38.46
35.75
37.56
36.65
38.46
35.75
38.01
39.82
38.01
35.29
34.84
36.2
38.91
37.56
38.46
35.75
36.65
37.1
38.46
35.75
36.65
37.1
35.75
35.29
34.84
34.39
37.56
35.29
38.01
35.75
38.46
37.56
35.75
36.65
35.29
39.37
36.2
38.46
36.65
39.37
37.1
35.75
34.39
36.65
37.1
37.1
37.56
36.2
36.65
36.65
36.2
37.56
37.1
35.75
33.94
37.56
34.84
38.46
35.75
36.2
39.82
35.29
38.01
38.01
36.2
34.84
35.75
36.2
36.65
33.94
38.01
35.29
37.56
37.1
38.46

