RUSBag
98.83
94.16
94.16
97.28
94.55
92.61
99.22
94.94
94.94
96.5
96.11
95.72
95.33
94.16
98.05
91.44
95.33
98.83
98.05
93.77
92.22
97.67
95.72
95.33
96.11
97.28
92.22
98.83
99.22
97.28
93.0
93.39
98.44
96.5
98.44
96.5
93.39
94.94
98.05
96.11
90.66
91.83
97.67
95.72
98.83
98.44
95.33
98.83
96.89
98.05
95.72
97.67
95.72
89.88
96.5
98.44
96.11
96.89
98.44
94.16
98.05
96.89
96.11
96.5
93.77
94.94
92.61
98.44
94.55
98.83
97.67
98.83
97.28
94.94
98.44
96.89
97.28
98.05
95.33
93.39
92.61
96.89
90.66
96.89
96.89
96.5
98.44
91.83
96.11
96.89
96.89
93.77
96.5
93.39
92.22
94.55
98.83
97.28
97.67
97.67

