ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,8,0.929685,1,1,67,0,5,77466,7,17,0,13,0
1,1,8,0.929685,2,2,125,0,5,18517,11,17,0,13,0
1,1,1,0,0,2,205,0,5,23837,8,25,0,21,0
1,1,1,0,1,1,221,1,2,2104,2,26,0,22,0
1,1,5,0.772779,2,3,439,0,4,28422,8,27,0,23,1
1,1,5,0.772779,0,2,282,0,3,79342,5,27,0,23,0
1,1,5,0.772779,7,9,412,0,8,52288,24,27,0,23,1
1,1,5,0.772779,1,2,201,0,5,74063,14,27,0,23,0
1,1,5,0.772779,1,1,199,0,6,74063,9,27,0,23,0
1,1,2,0.764205,3,4,234,1,5,74038,8,32,0,28,1
1,1,2,0.764205,1,1,595,1,7,55776,34,32,1,28,0
1,1,3,0.673588,8,9,486,0,6,70376,33,34,0,30,0
1,1,3,0.673588,1,1,168,0,4,45082,5,34,0,30,0
1,1,3,0.673588,2,2,194,0,7,81462,16,34,0,30,1
1,1,2,1,7,3,591,0,7,2649,35,54,5,54,0
1,1,2,1,2,8,438,0,5,63118,12,54,3,54,1
1,1,1,0,1,4,233,0,5,10696,9,37,1,33,0
1,1,1,0,6,4,263,1,5,81507,12,38,0,34,0
1,1,1,0,28,16,240,0,6,42392,15,39,0,35,0
1,1,3,0.85673,48,14,595,0,7,16382,36,56,6,56,1
1,1,3,0.85673,5,9,432,0,5,16382,13,56,4,56,1
1,1,3,0.85673,24,7,410,0,8,74886,25,56,3,56,1
1,1,1,0,4,3,629,0,7,4833,37,40,1,36,1
1,1,2,0.714015,28,13,444,0,2,5390,3,7,1,7,0
1,1,2,0.714015,9,1,71,0,2,8797,3,7,0,7,0
1,1,1,0,0,1,192,0,4,3802,9,41,0,37,0
1,1,2,0.911752,32,3,36,0,4,71215,5,42,0,38,1
1,1,2,0.911752,11,6,136,0,4,4301,7,42,0,38,1
1,1,1,0,6,5,229,1,4,75989,4,44,0,40,0
1,1,2,1,1,1,81,0,4,76463,8,45,0,41,0
1,1,2,1,1,1,40,0,4,76463,6,45,0,41,0
