ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,1,0,29,6,-23,1,8,83373,60,251,13,251,1
1,1,1,0,29,6,-23,1,8,83337,46,252,12,252,1
1,1,1,0,20,5,-15,1,8,85479,30,253,6,253,1
1,2,5,0.701398,11,0,-11,1,3,64359,5,241,1,241,0
1,2,5,0.701398,4,0,-4,1,6,1201,13,241,3,241,0
1,2,5,0.701398,30,2,-28,1,8,76072,19,241,4,241,1
1,2,5,0.701398,55,2,-53,1,6,76412,13,241,3,241,1
1,2,5,0.701398,1,1,0,1,5,84290,10,241,1,241,0
1,1,1,0,7,0,-7,1,7,1077,15,1396,1,1396,0
1,1,1,0,7,0,-7,1,7,476,15,1397,1,1397,0
1,1,1,0,5,3,-2,1,2,7872,2,16,0,16,1
1,1,1,0,9,12,3,1,4,7552,13,732,5,732,0
1,1,1,0,15,1,-14,1,10,5235,37,254,5,254,0
1,1,1,0,15,1,-14,1,10,5337,37,255,5,255,1
1,108,1217,0.884722,203,0,-203,0,1,0,1,95,0,0,0
1,108,1217,0.884722,68,0,-68,0,1,0,1,95,0,0,0
1,108,1217,0.884722,24,0,-24,0,1,0,1,95,0,0,0
1,108,1217,0.884722,24,0,-24,0,1,0,1,95,0,0,0
1,108,1217,0.884722,24,0,-24,0,1,0,1,95,0,0,0
1,108,1217,0.884722,222,0,-222,0,1,0,1,95,0,0,0
1,108,1217,0.884722,1167,0,-1167,0,1,0,1,95,0,0,0
1,108,1217,0.884722,224,0,-224,0,1,0,1,95,0,0,0
1,108,1217,0.884722,286,0,-286,0,1,0,1,95,0,0,0
1,108,1217,0.884722,96,0,-96,0,1,0,1,95,0,0,0
1,108,1217,0.884722,63,0,-63,0,1,0,1,95,0,0,0
1,108,1217,0.884722,234,0,-234,0,1,0,1,95,0,0,0
1,108,1217,0.884722,48,0,-48,0,1,0,1,95,0,0,0
1,108,1217,0.884722,50,0,-50,0,1,0,1,95,0,0,0
1,108,1217,0.884722,15,0,-15,0,1,0,1,95,0,0,0
1,108,1217,0.884722,72,0,-72,0,1,0,1,95,0,0,0
1,108,1217,0.884722,86,0,-86,0,1,0,1,95,0,0,0
1,108,1217,0.884722,46,0,-46,0,1,0,1,95,0,0,0
1,108,1217,0.884722,136,0,-136,0,1,0,1,95,0,0,0
1,108,1217,0.884722,76,0,-76,0,1,0,1,95,0,0,0
1,108,1217,0.884722,97,0,-97,0,1,0,1,95,0,0,0
1,108,1217,0.884722,85,0,-85,0,1,0,1,95,0,0,0
1,108,1217,0.884722,181,0,-181,0,1,0,1,95,0,0,0
1,108,1217,0.884722,51,0,-51,0,1,0,1,95,0,0,0
1,108,1217,0.884722,231,0,-231,0,1,0,1,95,0,0,0
1,108,1217,0.884722,498,0,-498,0,1,0,1,95,0,0,0
1,108,1217,0.884722,92,0,-92,0,1,0,1,95,0,0,0
1,108,1217,0.884722,74,0,-74,0,1,0,1,95,0,0,0
1,108,1217,0.884722,77,0,-77,0,1,0,1,95,0,0,0
1,108,1217,0.884722,174,0,-174,0,1,0,1,95,0,0,0
1,108,1217,0.884722,145,0,-145,0,1,0,1,95,0,0,0
1,108,1217,0.884722,46,0,-46,0,1,0,1,95,0,0,0
1,108,1217,0.884722,161,0,-161,0,1,0,1,95,0,0,0
1,108,1217,0.884722,497,0,-497,0,1,0,1,95,0,0,0
1,108,1217,0.884722,33,0,-33,0,1,0,1,95,0,0,0
1,108,1217,0.884722,271,0,-271,0,1,0,1,95,0,0,0
1,108,1217,0.884722,25,0,-25,0,1,0,1,95,0,0,0
1,108,1217,0.884722,126,0,-126,0,1,0,1,95,0,0,0
1,108,1217,0.884722,31,0,-31,0,1,0,1,95,0,0,0
1,108,1217,0.884722,90,0,-90,0,1,0,1,95,0,0,0
1,108,1217,0.884722,75,0,-75,0,1,0,1,95,0,0,0
1,108,1217,0.884722,23,0,-23,0,1,0,1,95,0,0,0
1,108,1217,0.884722,350,0,-350,0,1,0,1,95,0,0,0
1,108,1217,0.884722,179,0,-179,0,1,0,1,95,0,0,0
1,108,1217,0.884722,110,0,-110,0,1,0,1,95,0,0,0
1,108,1217,0.884722,43,0,-43,0,1,0,1,95,0,0,0
1,108,1217,0.884722,42,0,-42,0,1,0,1,95,0,0,0
1,108,1217,0.884722,43,0,-43,0,1,0,1,95,0,0,0
1,108,1217,0.884722,42,0,-42,0,1,0,1,95,0,0,0
1,108,1217,0.884722,6,0,-6,0,1,0,1,95,0,0,0
