RUSBag
98.64
98.64
98.8
98.8
98.49
98.49
98.8
98.34
98.64
98.64
98.49
98.64
98.64
98.49
98.34
98.19
98.49
98.34
98.34
98.04
98.34
98.64
98.64
98.64
98.8
98.64
98.8
98.8
98.34
98.49
98.49
98.49
98.49
98.64
98.19
98.64
98.64
98.19
98.19
98.8
98.64
98.64
98.64
98.8
98.34
98.64
98.8
98.64
98.19
98.34
98.34
98.19
98.04
98.49
98.04
98.49
98.8
98.8
98.64
98.34
98.64
98.64
98.64
98.8
98.64
98.49
98.49
98.34
98.64
98.49
98.19
98.34
98.34
98.49
98.64
98.34
98.19
98.95
98.64
98.49
98.8
98.64
98.19
98.49
98.95
98.19
98.8
99.1
98.8
98.64
98.64
98.8
98.49
98.8
98.8
98.34
98.49
98.34
98.49
98.49

