RUSBag
74.88
73.8
73.8
73.56
74.16
74.04
73.56
73.8
73.2
73.92
74.88
73.68
74.16
75.24
74.52
73.92
73.2
73.8
73.44
74.16
73.44
72.84
72.72
73.8
73.8
74.4
74.28
74.88
72.24
73.56
72.96
73.32
74.16
73.8
74.16
73.44
74.16
73.56
73.92
73.2
73.68
74.28
73.68
74.64
73.44
74.64
73.68
73.68
74.04
72.84
72.48
74.4
74.04
73.68
74.04
73.68
73.8
74.28
73.8
73.56
74.16
74.4
74.16
74.28
73.32
74.04
74.16
73.44
73.56
73.68
72.6
73.68
74.28
74.16
74.88
73.92
73.32
73.8
74.28
73.92
73.92
73.8
74.64
74.04
73.68
74.16
73.92
74.76
74.52
73.8
73.8
74.28
74.64
74.28
74.16
72.72
73.8
74.16
74.04
74.64

