RUSBag
68.33
66.06
67.87
71.04
69.23
68.33
67.87
68.33
68.78
66.97
70.59
70.59
65.16
64.25
69.23
67.42
68.33
68.78
67.87
68.78
69.23
67.42
69.68
66.97
67.42
68.33
65.61
66.97
67.42
67.42
69.23
66.52
67.42
68.78
65.16
69.68
67.42
71.04
66.52
67.87
68.78
68.78
70.14
64.71
68.33
66.52
67.42
71.04
70.59
70.59
68.33
71.95
68.78
71.49
67.42
71.49
71.04
68.33
71.95
66.06
67.87
68.33
71.95
70.14
71.04
68.78
65.61
70.14
69.68
69.23
68.78
70.14
65.61
68.33
71.49
67.87
70.59
68.78
70.14
69.23
66.52
69.68
67.87
67.42
69.23
70.14
66.06
69.68
69.23
68.33
67.87
69.23
68.78
67.42
70.14
69.23
68.33
69.68
68.78
66.52

