@relation 'MyVoldemort-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0'

@attribute cumulative_bug_count numeric
@attribute changed_LOC numeric
@attribute s183 numeric
@attribute s325 numeric
@attribute s326 numeric
@attribute s367 numeric
@attribute s646 numeric
@attribute s660 numeric
@attribute s705 numeric
@attribute s828 numeric
@attribute s1037 numeric
@attribute s1346 numeric
@attribute s1386 numeric
@attribute s2300 numeric
@attribute s2642 numeric
@attribute s2856 numeric
@attribute s4357 numeric
@attribute s4875 numeric
@attribute s5171 numeric
@attribute bug_introducing {0,1}

@data
1,3,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,4,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,4,12,0,0,0,0,0,13,1,0,0,0,0,1,0,0,0,0,0
1,8,11,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
1,28,11,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0
5,471,1,0,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,1
0,26,11,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
1,17,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,26,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,4,11,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
0,4,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
4,20,11,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,25,1,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0
7,13,1,0,0,1,0,0,21,1,0,0,0,0,0,0,0,0,0,0
7,14,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1
4,10,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
22,5,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,0
4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
22,3,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,0
7,5,1,0,0,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0
5,2,1,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0
