project, method, recall-1, precision-1, fMeasure-1, auc
MyAnt,RUSBag, 90.53, 35.93, 51.44,90.97

MyBuck,RUSBag, 76.95, 19.71, 31.36,79.96

MyFlink,RUSBag, 79.4, 64.78, 71.35,93.17

MyHadoop,RUSBag, 80.46, 53.23, 64.06,89.81

MyItextpdf,RUSBag, 80.59, 21.4, 33.81,88.63

MyJedit,RUSBag, 86.75, 51.18, 64.37,91.96

MyLucene,RUSBag, 82.81, 34.66, 48.86,87.0

MySynapse,RUSBag, 90.7, 75.13, 82.18,96.7

MyTomcat,RUSBag, 78.74, 40.24, 53.26,84.2

MyVoldemort,RUSBag, 67.21, 39.3, 49.59,84.57

