,R1,P1,F1,AUC
Simple,34.25,77.35,45.77,65.7,
ROS,67.53,55.0,59.55,75.49,
RUS,69.14,53.79,59.36,75.54,
Smote,68.57,55.02,60.05,75.87,
Bag,34.4,77.96,46.18,75.28,
ROSBag,67.58,56.02,60.21,79.45,
RUSBag,68.9,54.75,59.84,79.19,
SmoteBag,68.34,55.37,60.18,77.71,
Boost,44.58,71.37,54.11,81.99,
ROSBoost,62.16,56.76,58.86,82.17,
RUSBoost,65.13,55.31,59.04,82.17,
SmoteBoost,62.24,57.02,59.09,82.22,

