,R1,P1,F1,AUC
Simple,61.78,71.07,65.87,84.47,
ROS,71.58,60.0,65.2,80.18,
RUS,80.94,53.48,63.78,84.05,
Smote,68.09,65.49,66.73,84.76,
Bag,61.66,76.02,67.8,90.6,
ROSBag,73.78,67.88,70.64,90.75,
RUSBag,85.79,57.39,68.0,90.92,
SmoteBag,69.84,69.47,69.61,90.51,
Boost,65.95,72.36,68.89,89.13,
ROSBoost,65.83,71.37,68.38,88.94,
RUSBoost,72.03,66.04,68.79,88.72,
SmoteBoost,66.62,71.13,68.73,89.14,

