,R1,P1,F1,AUC
Simple,56.85,77.78,64.92,88.66,
ROS,67.78,67.43,67.47,88.48,
RUS,79.25,57.24,65.95,88.16,
Smote,64.58,72.02,67.93,89.02,
Bag,58.34,80.32,66.6,90.96,
ROSBag,73.09,69.78,71.3,91.11,
RUSBag,85.04,58.49,68.69,91.07,
SmoteBag,69.09,73.08,70.89,91.09,
Boost,61.19,76.39,67.52,88.08,
ROSBoost,61.66,75.19,67.37,88.29,
RUSBoost,62.89,74.0,67.62,88.4,
SmoteBoost,61.9,75.44,67.64,88.28,

