@relation 'MyLucene-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute commit_hour numeric
@attribute cumulative_bug_count numeric
@attribute change_log_length numeric
@attribute changed_LOC numeric
@attribute nd numeric
@attribute entropy numeric
@attribute la numeric
@attribute AGE {7938632.0,138.0,9707.0,8300.0,3937699.0,243437.0,243505.0,259621.0,2.8470231E7,242.0,582042.0,93843.0,0.0,2335332.0,1064838.0,712043.0,2276333.0,961875.0,4451746.0,774853.0,6931638.0,431175.0,5287162.0,5286572.0,1.2041838E7,4760979.0,2113213.0,1575119.0,4290911.0,2868435.0,4703288.0,544814.0,3254401.0,1283829.0,3491681.0,null}
@attribute CountDeclClassVariable_delta numeric
@attribute CountSemicolon_delta numeric
@attribute CountDeclmethodNameDefault_delta numeric
@attribute SumCyclomaticModified_delta numeric
@attribute CountLineCodeDecl_delta numeric
@attribute CountLineCode_delta numeric
@attribute CountDeclInstancemethodName_delta numeric
@attribute CountLineBlank_delta numeric
@attribute CountLine_delta numeric
@attribute CountDeclClassmethodName_delta numeric
@attribute CountDeclmethodNamePrivate_delta numeric
@attribute CountDeclmethodNamePublic_delta numeric
@attribute CountDeclClass_delta numeric
@attribute CountDeclmethodNameProtected_delta numeric
@attribute CountStmt_delta numeric
@attribute s13 numeric
@attribute s18 numeric
@attribute s46 numeric
@attribute s50 numeric
@attribute s75 numeric
@attribute s94 numeric
@attribute s112 numeric
@attribute s118 numeric
@attribute s145 numeric
@attribute s162 numeric
@attribute s174 numeric
@attribute s252 numeric
@attribute s263 numeric
@attribute s286 numeric
@attribute s319 numeric
@attribute s344 numeric
@attribute s370 numeric
@attribute s394 numeric
@attribute s418 numeric
@attribute s423 numeric
@attribute s464 numeric
@attribute s487 numeric
@attribute s500 numeric
@attribute s562 numeric
@attribute s569 numeric
@attribute s620 numeric
@attribute s755 numeric
@attribute s768 numeric
@attribute s782 numeric
@attribute s783 numeric
@attribute s792 numeric
@attribute s980 numeric
@attribute s1095 numeric
@attribute s1262 numeric
@attribute s1267 numeric
@attribute s1275 numeric
@attribute s1277 numeric
@attribute s1306 numeric
@attribute s1308 numeric
@attribute s1351 numeric
@attribute s1420 numeric
@attribute s1427 numeric
@attribute s1631 numeric
@attribute s1733 numeric
@attribute s2030 numeric
@attribute s2218 numeric
@attribute s2245 numeric
@attribute s2584 numeric
@attribute s2959 numeric
@attribute s2984 numeric
@attribute s3207 numeric
@attribute s3266 numeric
@attribute s3336 numeric
@attribute s3719 numeric
@attribute s4101 numeric
@attribute s5029 numeric
@attribute s5652 numeric
@attribute s6776 numeric
@attribute s6826 numeric
@attribute s6890 numeric
@attribute s6960 numeric
@attribute s7053 numeric
@attribute s7068 numeric
@attribute s7237 numeric
@attribute s7729 numeric
@attribute s9832 numeric
@attribute bug_introducing {0,1}

@data
23,4,162,5,1,0.789636,5,961875.0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,111,0,0,0,18,0,0,12,9,0,121,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,144,2,1,0,1,4451746.0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,111,0,0,0,10,1,0,0,14,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,203,2,1,0,1,774853.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,0,0,0,2,0,0,3,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,210,32,1,0,27,6931638.0,0,3,0,2,5,11,1,4,22,0,0,0,0,1,5,1,1101,0,0,0,17,2,0,21,76,1,32,1,8,0,36,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1,322,9,1,0.918579,8,431175.0,0,1,0,0,0,1,0,2,7,0,0,0,0,0,1,1,151,0,0,0,16,1,0,3,40,111,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,7,0,2,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,322,44,1,0.918579,41,431175.0,0,14,0,6,6,25,1,3,38,0,1,0,0,0,20,1,151,0,0,0,115,0,0,8,34,12,0,0,110,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,5,322,37,1,0.918579,34,431175.0,0,10,1,5,6,20,3,4,31,1,0,3,1,0,15,1,171,0,0,0,19,1,0,4,21,1,15,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,5,322,37,1,0.918579,35,431175.0,0,11,0,4,5,16,3,3,33,0,0,3,0,0,15,1,131,0,0,0,126,0,0,16,15,14,27,0,128,0,5,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,8,159,4,1,0.619382,2,5287162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,171,0,0,0,6,2,0,3,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,159,22,1,0.619382,11,5286572.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,11,1,0,2,45,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,162,23,1,0.971406,14,1.2041838E7,0,4,0,-1,0,4,0,1,5,0,0,0,0,0,3,1,111,0,0,0,6,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,162,31,1,0.971406,18,1.2041838E7,0,2,0,0,1,4,0,0,5,0,0,0,0,0,2,1,151,0,0,1,8,1,0,4,15,0,15,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,162,15,1,0.971406,9,1.2041838E7,0,2,0,0,2,3,0,0,3,0,0,0,0,0,2,1,111,0,0,0,8,0,0,2,9,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,162,20,1,0.971406,11,1.2041838E7,0,2,0,0,1,2,0,0,2,0,0,0,0,0,2,1,111,0,0,0,8,0,0,2,7,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,162,36,1,0.971406,20,1.2041838E7,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,1,161,0,0,0,6,0,0,2,23,0,1,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,150,2,1,1,1,4760979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,3,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,150,2,1,1,1,4760979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,0,0,0,5,0,0,1,2,1,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,150,2,1,1,1,2113213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,4,0,0,1,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,167,56,1,0,34,1575119.0,0,-27,-5,-26,-19,-68,-9,-19,-96,0,-4,0,0,0,-68,1,111,0,0,0,8,1,0,0,20,1,5,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,8,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,18,193,4,1,0,3,4290911.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,141,0,0,0,21,5,3,21,30,1,32,0,0,0,18,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,28,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,144,2,1,0.850864,1,2868435.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,121,0,0,0,7,2,0,0,2,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,144,10,1,0.850864,5,4703288.0,0,0,-1,0,-5,0,0,0,0,0,0,1,0,0,6,1,111,0,0,0,4,0,1,0,20,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,144,10,1,0.850864,5,544814.0,0,36,3,27,27,81,10,18,108,0,5,2,0,0,78,1,111,0,0,0,8,1,0,0,15,1,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,146,4,1,0,4,3254401.0,0,1,0,1,1,3,1,1,4,0,0,1,0,0,2,1,121,0,0,0,4,0,0,4,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
