@relation 'MyHadoop-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute commit_day {' Tuesday',' Wednesday',' Thursday',' Friday',' Monday',' Saturday',' Sunday'}
@attribute commit_hour numeric
@attribute change_log_length numeric
@attribute RatioCommentToCode_delta numeric
@attribute s24 numeric
@attribute s26 numeric
@attribute s28 numeric
@attribute s53 numeric
@attribute s56 numeric
@attribute s94 numeric
@attribute s170 numeric
@attribute s204 numeric
@attribute s252 numeric
@attribute s253 numeric
@attribute s501 numeric
@attribute s586 numeric
@attribute s665 numeric
@attribute s744 numeric
@attribute s804 numeric
@attribute s814 numeric
@attribute s953 numeric
@attribute s1073 numeric
@attribute s1076 numeric
@attribute s1108 numeric
@attribute s1247 numeric
@attribute s2418 numeric
@attribute s2622 numeric
@attribute s2718 numeric
@attribute s4080 numeric
@attribute s4108 numeric
@attribute s7268 numeric
@attribute s7312 numeric
@attribute s8576 numeric
@attribute s9215 numeric
@attribute s10796 numeric
@attribute s14398 numeric
@attribute s31243 numeric
@attribute s33098 numeric
@attribute s33551 numeric
@attribute s33576 numeric
@attribute s34089 numeric
@attribute s34455 numeric
@attribute s34685 numeric
@attribute s34699 numeric
@attribute bug_introducing {0,1}

@data
' Friday',3,206,0,241,1,1,0,0,0,1,0,0,0,0,0,0,12,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,275,0,241,0,1,0,0,0,1,0,0,0,0,0,0,12,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,0.51,2241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,0.3,2321,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,-0.91,242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,0.43,2181,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,0.02,2241,11,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,-0.03,2141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,-0.02,2121,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,-0.01,2491,1,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,0.93,281,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,2.38,281,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
' Friday',4,219,3.45,241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,0.47,281,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
' Friday',4,219,0.36,261,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
' Friday',4,219,0.48,281,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
